type dayOfWeek location
"Aid Response" 0 "(47.612715999999999, -122.345399)"
"Aid Response" 0 "(47.719279, -122.295233)"
"Aid Response" 0 "(47.629845000000003, -122.346226)"
"Aid Response" 0 "(47.560302, -122.288821)"
"Aid Response" 0 "(47.579056999999999, -122.38663099999999)"
"Medic Response" 0 "(47.553310000000003, -122.313474)"
"Aid Response" 0 "(47.659306999999998, -122.40088900000001)"
"Illegal Burn" 0 "(47.705098, -122.357417)"
"Aid Response" 0 "(47.689112000000002, -122.35857)"
"Trans to AMR" 0 "(47.699649999999998, -122.355396)"
"Motor Vehicle Accident" 0 "(47.609338000000001, -122.32513899999999)"
"Medic Response" 0 "(47.551442999999999, -122.291556)"
"Automatic Medical Alarm" 0 "(47.607742000000002, -122.326595)"
"Medic Response" 0 "(47.552014999999997, -122.389824)"
"Aid Response" 0 "(47.606527999999997, -122.336381)"
"Medic Response" 0 "(47.673895999999999, -122.38474100000001)"
"Aid Response" 0 "(47.633249999999997, -122.37944400000001)"
"Aid Response" 0 "(47.607716000000003, -122.342438)"
"Medic Response" 0 "(47.683725000000003, -122.37678200000001)"
"Aid Response" 0 "(47.629904000000003, -122.346227)"
"Aid Response" 0 "(47.509999999999998, -122.23777800000001)"
"Medic Response" 0 "(47.708899000000002, -122.32056799999999)"
"Medic Response" 0 "(47.663074999999999, -122.31083)"
"Medic Response" 0 "(47.652788999999999, -122.38905)"
"Trans to AMR" 0 "(47.676136, -122.290283)"
"Aid Response" 0 "(47.708559000000001, -122.317567)"
"Medic Response" 0 "(47.601717999999998, -122.331581)"
"Aid Response" 0 "(47.544871999999998, -122.387215)"
"Medic Response" 0 "(47.637230000000002, -122.277111)"
"Fire in Building" 0 "(47.608187000000001, -122.298866)"
"Automatic Medical Alarm" 0 "(47.602634999999999, -122.32074)"
"Aid Response" 0 "(47.717770999999999, -122.349453)"
"Medic Response" 0 "(47.601702000000003, -122.32214999999999)"
"Illegal Burn" 0 "(47.619948000000001, -122.28158500000001)"
"""Medic Response" 0 "(47.604376999999999, -122.32520700000001)"
"Medic Response" 0 "(47.507292, -122.37596600000001)"
"Aid Response" 0 "(47.533698000000001, -122.363185)"
"Automatic Fire Alarm Resd" 0 "(47.661361999999997, -122.27145400000001)"
"Aid Response" 0 "(47.601716000000003, -122.330265)"
"Rescue Automobile" 0 "(47.666266999999998, -122.300605)"
"Medic Response" 0 "(47.673895999999999, -122.38474100000001)"
"Medic Response" 0 "(47.704886000000002, -122.29087199999999)"
"Aid Response Yellow" 0 "(47.610455000000002, -122.303702)"
"Aid Response" 0 "(47.689835000000002, -122.3443)"
"Medic Response" 0 "(47.539620999999997, -122.270898)"
"Medic Response" 0 "(47.610550000000003, -122.329318)"
"Aid Response" 0 "(47.562677000000001, -122.392166)"
"Aid Response" 0 "(47.599198999999999, -122.33005)"
"Automatic Fire Alarm Resd" 0 "(47.526519, -122.35311799999999)"
"Aid Response" 0 "(47.553431000000003, -122.285231)"
"Aid Response" 0 "(47.674545999999999, -122.374571)"
"Aid Response" 0 "(47.600194000000002, -122.330541)"
"Aid Response" 0 "(47.588436999999999, -122.315844)"
"Medic Response" 0 "(47.522767999999999, -122.35510499999999)"
"Aid Response" 0 "(47.661467000000002, -122.368768)"
"Medic Response" 0 "(47.538879000000001, -122.28570999999999)"
"Aid Response" 0 "(47.623403000000003, -122.323054)"
"Aid Response" 0 "(47.554758, -122.313463)"
"Aid Response" 0 "(47.606302999999997, -122.31547)"
"Automatic Fire Alarm Resd" 0 "(47.681770999999998, -122.316407)"
"Aid Response" 0 "(47.611207, -122.337592)"
"Aid Response" 0 "(47.665131000000002, -122.28479)"
"Aid Response" 0 "(47.526294, -122.31491200000001)"
"Medic Response" 0 "(47.518177999999999, -122.367277)"
"Medic Response" 0 "(47.608246999999999, -122.29755900000001)"
"Medic Response" 0 "(47.670197999999999, -122.395853)"
"Aid Response" 0 "(47.529096000000003, -122.272739)"
"Aid Response" 0 "(47.701756000000003, -122.335022)"
"Medic Response" 0 "(47.602172000000003, -122.33086299999999)"
"Alarm Bell" 0 "(47.612045999999999, -122.348232)"
"Medic Response" 0 "(47.571807, -122.40044899999999)"
"Fire in Building" 0 "(47.710754999999999, -122.331357)"
"Aid Response Yellow" 0 "(47.644953000000001, -122.39024499999999)"
"Aid Response" 0 "(47.524740000000001, -122.313996)"
"Auto Fire Alarm" 0 "(47.611449999999998, -122.331546)"
"Aid Response" 0 "(47.610742999999999, -122.338702)"
"Aid Response" 0 "(47.564822999999997, -122.31475)"
"Aid Response" 0 "(47.656339000000003, -122.30698599999999)"
"Medic Response" 0 "(47.610971999999997, -122.34046499999999)"
"Aid Response" 0 "(47.705578000000003, -122.372749)"
"Aid Response" 0 "(47.521023, -122.366095)"
"""Medic Response" 0 "(47.548870000000001, -122.354833)"
"Trans to AMR" 0 "(47.679479999999998, -122.31845800000001)"
"Car Fire Freeway" 0 "(47.587138000000003, -122.320156)"
"Medic Response" 0 "(47.690609000000002, -122.357709)"
"Motor Vehicle Accident" 0 "(47.635244, -122.301565)"
"Rescue Heavy" 0 "(47.653948, -122.322626)"
"Aid Response" 0 "(47.611725, -122.302741)"
"Auto Fire Alarm" 0 "(47.659042999999997, -122.306403)"
"Aid Response" 0 "(47.564076999999997, -122.376189)"
"Automatic Fire Alarm Resd" 0 "(47.536648, -122.267274)"
"Aid Response" 0 "(47.575916999999997, -122.29400800000001)"
"Medic Response" 0 "(47.651727999999999, -122.395565)"
"Medic Response" 0 "(47.601722000000002, -122.333957)"
"Rubbish Fire" 0 "(47.610742999999999, -122.338702)"
"Aid Response Yellow" 0 "(47.616442999999997, -122.310151)"
"Trans to AMR" 0 "(47.69061, -122.35798200000001)"
"""Medic Response" 0 "(47.627349000000002, -122.30604700000001)"
"Aid Response" 0 "(47.663317999999997, -122.314235)"
"Automatic Fire Alarm Resd" 0 "(47.661313, -122.396163)"
"Aid Response" 0 "(47.600194000000002, -122.330541)"
"""Mutual Aid" 0 "(47.589160999999997, -122.23987099999999)"
"Investigate Out Of Service" 0 "(47.604270999999997, -122.320744)"
"Aid Response" 0 "(47.603516999999997, -122.318076)"
"Trans to AMR" 0 "(47.609827000000003, -122.334796)"
"Aid Response" 0 "(47.544311999999998, -122.334581)"
"Automatic Fire Alarm Resd" 0 "(47.538006000000003, -122.26459199999999)"
"Aid Response" 0 "(47.675783000000003, -122.31193)"
"Aid Response" 0 "(47.601717999999998, -122.331581)"
"Aid Response" 0 "(47.523418999999997, -122.34523)"
"Aid Response" 0 "(47.607729999999997, -122.331343)"
"Aid Response" 0 "(47.723233999999998, -122.355547)"
"Aid Response" 0 "(47.518749999999997, -122.364559)"
"Medic Response" 0 "(47.655873999999997, -122.348569)"
"Rescue Water" 0 "(47.733338000000003, -122.355569)"
"Automatic Fire Alarm Resd" 0 "(47.546061000000002, -122.265934)"
"Rescue Elevator" 0 "(47.628712999999998, -122.330907)"
"Aid Response" 0 "(47.572943000000002, -122.306787)"
"Aid Response" 1 "(47.709488, -122.323301)"
"Medic Response" 1 "(47.520789999999998, -122.390232)"
"Trans to AMR" 1 "(47.696809999999999, -122.327101)"
"Aid Response" 1 "(47.627082000000001, -122.281532)"
"Medic Response" 1 "(47.539419000000002, -122.390816)"
"Aid Response" 1 "(47.558987999999999, -122.376234)"
"Aid Response" 1 "(47.705390999999999, -122.342009)"
"""Hang-Up" 1 "(47.620254000000003, -122.32087900000001)"
"Aid Response" 1 "(47.554937000000002, -122.282393)"
"Medic Response" 1 "(47.609198999999997, -122.310095)"
"1RED 1 Unit" 1 "(47.705047999999998, -122.34174)"
"Aid Response" 1 "(47.726863999999999, -122.348012)"
"Rescue Water" 1 "(47.640459, -122.25910399999999)"
"Aid Response" 1 "(47.518177999999999, -122.367277)"
"Rubbish Fire" 1 "(47.611207, -122.337592)"
"Aid Response" 1 "(47.600816000000002, -122.33596300000001)"
"Motor Vehicle Accident" 1 "(47.603445999999998, -122.32742399999999)"
"Medic Response" 1 "(47.728658000000003, -122.31267800000001)"
"Aid Response" 1 "(47.558520000000001, -122.299173)"
"Aid Response" 1 "(47.704951000000001, -122.325827)"
"Aid Response" 1 "(47.577725999999998, -122.329058)"
"Aid Response" 1 "(47.573881999999998, -122.29181199999999)"
"Motor Vehicle Accident" 1 "(47.652005000000003, -122.35341099999999)"
"Aid Response" 1 "(47.530025000000002, -122.360451)"
"Aid Response" 1 "(47.630867000000002, -122.32729500000001)"
"Medic Response" 1 "(47.670887, -122.33599599999999)"
"Motor Vehicle Accident Freeway" 1 "(47.601669000000001, -122.32489700000001)"
"Trans to AMR" 1 "(47.663074999999999, -122.31083)"
"Medic Response" 1 "(47.708571999999997, -122.319754)"
"Medic Response" 1 "(47.726863999999999, -122.348004)"
"Medic Response" 1 "(47.697457, -122.29033)"
"Rescue Elevator" 1 "(47.588026999999997, -122.38627700000001)"
"Aid Response" 1 "(47.701756000000003, -122.335022)"
"Aid Response" 1 "(47.724986999999999, -122.296386)"
"Auto Fire Alarm" 1 "(47.579799999999999, -122.33512500000001)"
"Trans to AMR" 1 "(47.600816000000002, -122.33596300000001)"
"Natural Gas Leak Major" 1 "(47.667603999999997, -122.38046799999999)"
"Aid Response" 1 "(47.549582999999998, -122.32958000000001)"
"Aid Response" 1 "(47.609878000000002, -122.33484199999999)"
"Aid Response" 1 "(47.680311000000003, -122.349401)"
"Medic Response" 1 "(47.719600999999997, -122.35553899999999)"
"Aid Response" 1 "(47.573690999999997, -122.32906)"
"Aid Response" 1 "(47.531033000000001, -122.280675)"
"Medic Response" 1 "(47.620814000000003, -122.332852)"
"Aid Response" 1 "(47.609749999999998, -122.337793)"
"Dumpster Fire" 1 "(47.609220999999998, -122.335775)"
"Medic Response" 1 "(47.661769, -122.33135299999999)"
"Aid Response" 1 "(47.573698999999998, -122.32996900000001)"
"Auto Fire Alarm" 1 "(47.619700000000002, -122.33717)"
"Trans to AMR" 1 "(47.565441999999997, -122.36862499999999)"
"Aid Response Yellow" 1 "(47.604615000000003, -122.32228000000001)"
"Medic Response" 1 "(47.606628000000001, -122.31285699999999)"
"Aid Response" 1 "(47.564112000000002, -122.286056)"
"Medic Response" 1 "(47.614787999999997, -122.342952)"
"Aid Response" 1 "(47.718246999999998, -122.35553299999999)"
"Aid Response" 1 "(47.579808999999997, -122.32905700000001)"
"Aid Response" 1 "(47.582838000000002, -122.38648499999999)"
"Aid Response" 1 "(47.659306999999998, -122.40088900000001)"
"Medic Response" 1 "(47.648072999999997, -122.332639)"
"Trans to AMR" 1 "(47.617534999999997, -122.334249)"
"Aid Response" 1 "(47.603698000000001, -122.329187)"
"Trans to AMR" 1 "(47.547451000000002, -122.267269)"
"Auto Fire Alarm" 1 "(47.597517000000003, -122.327675)"
"Medic Response" 1 "(47.700766999999999, -122.370074)"
"Medic Response" 1 "(47.722898999999998, -122.293194)"
"""Medic Response" 1 "(47.608291999999999, -122.33799500000001)"
"Medic Response" 1 "(47.601581000000003, -122.31958)"
"Auto Fire Alarm" 1 "(47.714450999999997, -122.35551700000001)"
"Aid Response" 1 "(47.656663999999999, -122.34723200000001)"
"Aid Response" 1 "(47.662880000000001, -122.35397399999999)"
"Automatic Medical Alarm" 1 "(47.627015, -122.364358)"
"Aid Response" 1 "(47.722898999999998, -122.293194)"
"Aid Response" 1 "(47.670175, -122.378984)"
"Electrical Problem" 1 "(47.555993999999998, -122.386926)"
"Investigate Out Of Service" 1 "(47.673537000000003, -122.269407)"
"Trans to AMR" 1 "(47.546663000000002, -122.385734)"
"Medic Response" 1 "(47.612507999999998, -122.341078)"
"Medic Response" 1 "(47.661557999999999, -122.275811)"
"Aid Response" 1 "(47.600194000000002, -122.330541)"
"Medic Response" 1 "(47.617952000000002, -122.338385)"
"Aid Response" 1 "(47.724674, -122.34798600000001)"
"Medic Response" 1 "(47.538871999999998, -122.284744)"
"Medic Response" 1 "(47.506261000000002, -122.377647)"
"Medic Response" 1 "(47.605226999999999, -122.32074900000001)"
"Aid Response" 1 "(47.661453999999999, -122.355441)"
"Medic Response" 1 "(47.553612000000001, -122.38423299999999)"
"Aid Response" 1 "(47.708571999999997, -122.319754)"
"Aid Response" 1 "(47.708899000000002, -122.32056799999999)"
"Aid Response" 1 "(47.617908, -122.34823)"
"Motor Vehicle Accident" 1 "(47.726647999999997, -122.312651)"
"Aid Response" 1 "(47.686860000000003, -122.322952)"
"Aid Response" 1 "(47.684761000000002, -122.341669)"
"Natural Gas Leak Major" 1 "(47.650111000000003, -122.322096)"
"Aid Response" 1 "(47.719638000000003, -122.35553899999999)"
"""Medic Response" 1 "(47.527692999999999, -122.31593599999999)"
"Aid Response" 1 "(47.618533999999997, -122.33848500000001)"
"Medic Response" 1 "(47.533703000000003, -122.365816)"
"Trans to AMR" 1 "(47.530040999999997, -122.355054)"
"Aid Response" 1 "(47.618673000000001, -122.355452)"
"Aid Response" 1 "(47.709397000000003, -122.30998200000001)"
"Medic Response" 1 "(47.726863999999999, -122.348012)"
"Medic Response" 1 "(47.527723999999999, -122.28774199999999)"
"Car Fire" 1 "(47.607753000000002, -122.326761)"
"Medic Response" 1 "(47.531885000000003, -122.36723000000001)"
"Aid Response" 1 "(47.611694, -122.324223)"
"Aid Response" 1 "(47.605620999999999, -122.324591)"
"Aid Response" 1 "(47.517488, -122.376885)"
"Aid Response" 1 "(47.615788999999999, -122.336507)"
"Aid Response" 1 "(47.601702000000003, -122.32214999999999)"
"Automatic Medical Alarm" 1 "(47.676048000000002, -122.30382)"
"Aid Response" 1 "(47.568047, -122.32267299999999)"
"Aid Response" 1 "(47.523307000000003, -122.269986)"
"Motor Vehicle Accident" 1 "(47.618554000000003, -122.343368)"
"Motor Vehicle Accident" 1 "(47.545409999999997, -122.306094)"
"Auto Fire Alarm" 1 "(47.617753999999998, -122.334086)"
"Aid Response" 1 "(47.602812999999998, -122.33144900000001)"
"Trans to AMR" 1 "(47.525418999999999, -122.314927)"
"Aid Response" 1 "(47.728287999999999, -122.29225)"
"Aid Response" 1 "(47.669435, -122.368754)"
"Automatic Fire Alarm Resd" 1 "(47.627274999999997, -122.290583)"
"Aid Response" 1 "(47.626275999999997, -122.34625200000001)"
"Aid Response" 1 "(47.547451000000002, -122.267269)"
"Aid Response" 1 "(47.607390000000002, -122.332564)"
"Aid Response" 1 "(47.605345999999997, -122.319413)"
"Aid Response" 1 "(47.614109999999997, -122.34974)"
"Aid Response" 1 "(47.685263999999997, -122.389777)"
"Aid Response" 1 "(47.596676000000002, -122.32637)"
"Auto Fire Alarm" 1 "(47.602114, -122.330809)"
"Aid Response" 1 "(47.554718000000001, -122.290486)"
"Aid Response" 1 "(47.624583999999999, -122.308673)"
"Aid Response" 1 "(47.547823000000001, -122.37206)"
"Medic Response" 1 "(47.544089999999997, -122.373769)"
"Auto Fire Alarm" 1 "(47.646712999999998, -122.34947200000001)"
"Aid Response" 1 "(47.698051, -122.35939999999999)"
"1RED 1 Unit" 1 "(47.679799000000003, -122.32454)"
"Auto Fire Alarm" 1 "(47.677287, -122.32316899999999)"
"Aid Response" 1 "(47.596674, -122.32478999999999)"
"Automatic Fire Alarm False" 1 "(47.572360000000003, -122.287756)"
"Aid Response" 1 "(47.659216000000001, -122.400988)"
"Aid Response" 1 "(47.595824999999998, -122.319215)"
"Medic Response" 1 "(47.713787000000004, -122.28384800000001)"
"Medic Response" 1 "(47.667143000000003, -122.35442)"
"Medic Response" 1 "(47.612715999999999, -122.345399)"
"Dumpster Fire W/Exp." 1 "(47.589081, -122.32904600000001)"
"Aid Response" 1 "(47.543996, -122.29474500000001)"
"Rescue Water" 1 "(47.671045999999997, -122.343299)"
"Aid Response" 1 "(47.554862, -122.27256300000001)"
"Medic Response" 1 "(47.557383999999999, -122.36292)"
"Aid Response" 1 "(47.556784999999998, -122.286143)"
"Motor Vehicle Accident" 1 "(47.674317000000002, -122.29025799999999)"
"Medic Response" 1 "(47.558987999999999, -122.376234)"
"Aid Response" 1 "(47.617113000000003, -122.30462)"
"Medic Response" 1 "(47.675984, -122.332685)"
"Medic Response" 1 "(47.606628000000001, -122.31285699999999)"
"Aid Response" 1 "(47.707045999999998, -122.31783)"
"Aid Response" 1 "(47.676361, -122.386427)"
"Aid Response" 1 "(47.618740000000003, -122.320854)"
"Aid Response" 1 "(47.609749999999998, -122.337793)"
"Aid Response" 1 "(47.569958, -122.307785)"
"Aid Response" 1 "(47.602984999999997, -122.328535)"
"Aid Response" 1 "(47.519038000000002, -122.26999600000001)"
"Aid Response" 1 "(47.694682999999998, -122.36734199999999)"
"Aid Response Yellow" 1 "(47.638953000000001, -122.394216)"
"Medic Response" 1 "(47.603060999999997, -122.337788)"
"Aid Response" 1 "(47.610002999999999, -122.338025)"
"Aid Response" 1 "(47.602899999999998, -122.331529)"
"Aid Response" 1 "(47.675775000000002, -122.30274199999999)"
"Aid Response" 1 "(47.724670000000003, -122.344993)"
"Aid Response Yellow" 1 "(47.503326999999999, -122.262384)"
"Medic Response" 1 "(47.538733999999998, -122.37523899999999)"
"Aid Response" 1 "(47.534191, -122.281852)"
"Trans to AMR" 1 "(47.615026999999998, -122.335199)"
"Aid Response" 1 "(47.706420000000001, -122.290823)"
"Aid Response" 1 "(47.628895999999997, -122.34361699999999)"
"Trans to AMR" 1 "(47.521594999999998, -122.264225)"
"Aid Response" 1 "(47.715843999999997, -122.30584)"
"Trans to AMR" 1 "(47.600194000000002, -122.330541)"
"Aid Response" 1 "(47.557464000000003, -122.382853)"
"Aid Response" 1 "(47.704379000000003, -122.358374)"
"Trans to AMR" 1 "(47.648513000000001, -122.383358)"
"Aid Response Yellow" 1 "(47.696440000000003, -122.34079300000001)"
"Aid Response" 1 "(47.663330000000002, -122.29810999999999)"
"Medic Response" 1 "(47.546858999999998, -122.274805)"
"Auto Fire Alarm" 1 "(47.611811000000003, -122.319221)"
"Medic Response" 1 "(47.535387, -122.267284)"
"Aid Response" 1 "(47.564177000000001, -122.296723)"
"Medic Response" 1 "(47.544150000000002, -122.321185)"
"Aid Response" 1 "(47.568767000000001, -122.370751)"
"Activated CO Detector" 1 "(47.659750000000003, -122.31978100000001)"
"Aid Response" 1 "(47.712167000000001, -122.312433)"
"Aid Response" 1 "(47.653264, -122.358982)"
"Medic Response" 1 "(47.615383999999999, -122.347925)"
"Aid Response" 1 "(47.677563999999997, -122.32391200000001)"
"Medic Response" 1 "(47.571407999999998, -122.29100099999999)"
"Medic Response" 2 "(47.571232999999999, -122.291003)"
"Aid Response" 2 "(47.625551000000002, -122.32022600000001)"
"Rescue Elevator" 2 "(47.618763999999999, -122.354146)"
"Aid Response" 2 "(47.520347000000001, -122.26052199999999)"
"Trans to AMR" 2 "(47.675846, -122.319289)"
"Trans to AMR" 2 "(47.624583999999999, -122.308673)"
"Medic Response" 2 "(47.610213999999999, -122.33668299999999)"
"Auto Fire Alarm" 2 "(47.712305000000001, -122.339596)"
"Aid Response" 2 "(47.519852999999998, -122.26836400000001)"
"Aid Response" 2 "(47.602587999999997, -122.334202)"
"Auto Fire Alarm" 2 "(47.611728999999997, -122.296223)"
"Medic Response" 2 "(47.584541999999999, -122.30291)"
"Aid Response" 2 "(47.600194000000002, -122.330541)"
"Aid Response" 2 "(47.600194000000002, -122.330541)"
"Medic Response" 2 "(47.524120000000003, -122.264611)"
"Aid Response" 2 "(47.708571999999997, -122.319754)"
"Aid Response" 2 "(47.605440000000002, -122.332317)"
"Aid Response" 2 "(47.602922999999997, -122.314195)"
"Trans to AMR" 2 "(47.616442999999997, -122.310151)"
"Aid Response" 2 "(47.648457999999998, -122.38198199999999)"
"Medic Response" 2 "(47.658298000000002, -122.31778199999999)"
"Motor Vehicle Accident" 2 "(47.664943999999998, -122.318438)"
"Natural Gas Odor" 2 "(47.618487999999999, -122.32523399999999)"
"Aid Response" 2 "(47.617570999999998, -122.320836)"
"Aid Response" 2 "(47.575574000000003, -122.329059)"
"Aid Response" 2 "(47.558701999999997, -122.266921)"
"Aid Response" 2 "(47.612963000000001, -122.320762)"
"Aid Response" 2 "(47.672359999999998, -122.376211)"
"Aid Response" 2 "(47.709994999999999, -122.32295999999999)"
"Aid Response" 2 "(47.602984999999997, -122.328535)"
"Medic Response" 2 "(47.618946999999999, -122.32219000000001)"
"Aid Response" 2 "(47.617161000000003, -122.33702700000001)"
"Auto Fire Alarm" 2 "(47.600802999999999, -122.335961)"
"Auto Fire Alarm" 2 "(47.603588000000002, -122.32294899999999)"
"Motor Vehicle Accident" 2 "(47.712232, -122.323381)"
"Trans to AMR" 2 "(47.724670000000003, -122.344993)"
"Automatic Medical Alarm" 2 "(47.604376999999999, -122.32520700000001)"
"Aid Response" 2 "(47.545330999999997, -122.27507300000001)"
"Medic Response" 2 "(47.534553000000002, -122.31366800000001)"
"Medic Response" 2 "(47.616446000000003, -122.31145600000001)"
"Aid Response" 2 "(47.657286999999997, -122.31323399999999)"
"Medic Response" 2 "(47.610971999999997, -122.34046499999999)"
"Medic Response" 2 "(47.615526000000003, -122.3442)"
"""Hang-Up" 2 "(47.602452, -122.33724100000001)"
"Aid Response" 2 "(47.600194000000002, -122.330541)"
"Investigate Out Of Service" 2 "(47.634742000000003, -122.401174)"
"Auto Fire Alarm" 2 "(47.632317, -122.356036)"
"Medic Response" 2 "(47.601666000000002, -122.302222)"
"Aid Response" 2 "(47.709994999999999, -122.32295999999999)"
"Aid Response" 2 "(47.636766000000001, -122.328952)"
"Automatic Fire Alarm Resd" 2 "(47.555675000000001, -122.396383)"
"Aid Response" 2 "(47.623272, -122.35541499999999)"
"Aid Response" 2 "(47.572862000000001, -122.37419)"
"Motor Vehicle Accident" 2 "(47.571328000000001, -122.339668)"
"Auto Fire Alarm" 2 "(47.606268, -122.337677)"
"Medic Response" 2 "(47.610387000000003, -122.34119800000001)"
"Aid Response" 2 "(47.530262999999998, -122.27081)"
"Medic Response" 2 "(47.601672000000001, -122.305031)"
"Medic Response" 2 "(47.521166999999998, -122.275598)"
"1RED 1 Unit" 2 "(47.575097999999997, -122.314733)"
"Aid Response" 2 "(47.611511, -122.32076000000001)"
"Aid Response" 2 "(47.602984999999997, -122.328535)"
"Aid Response Yellow" 2 "(47.561104, -122.274474)"
"Medic Response" 2 "(47.645193999999996, -122.38595599999999)"
"Automatic Medical Alarm" 2 "(47.608051000000003, -122.339309)"
"Aid Response" 2 "(47.615264000000003, -122.31685400000001)"
"Aid Response" 2 "(47.614820999999999, -122.333167)"
"Aid Response" 2 "(47.546731000000001, -122.300443)"
"Medic Response" 2 "(47.610550000000003, -122.329318)"
"Aid Response" 2 "(47.732674000000003, -122.29653399999999)"
"Investigate Out Of Service" 2 "(47.5837, -122.321395)"
"Aid Response" 2 "(47.657134999999997, -122.31439399999999)"
"Aid Response" 2 "(47.667890999999997, -122.376486)"
"Aid Response" 2 "(47.667143000000003, -122.35442)"
"Aid Response" 2 "(47.521023, -122.366095)"
"Aid Response" 2 "(47.543832000000002, -122.37117000000001)"
"Medic Response" 2 "(47.602010999999997, -122.30896199999999)"
"Aid Response" 2 "(47.604446000000003, -122.33447700000001)"
"Aid Response" 2 "(47.571548, -122.296819)"
"Aid Response" 2 "(47.553728, -122.30132500000001)"
"Aid Response" 2 "(47.554937000000002, -122.282393)"
"Aid Response" 2 "(47.614521000000003, -122.33295)"
"Aid Response" 2 "(47.612226, -122.33515800000001)"
"Aid Response" 2 "(47.574466999999999, -122.313385)"
"Aid Response" 2 "(47.610550000000003, -122.329318)"
"Water Job Minor" 2 "(47.529854999999998, -122.351705)"
"Aid Response" 2 "(47.606164999999997, -122.305031)"
"""Mutual Aid" 2 "(47.590386000000002, -122.288566)"
"Medic Response" 2 "(47.668661999999998, -122.370893)"
"Motor Vehicle Accident" 2 "(47.538884000000003, -122.282179)"
"Auto Fire Alarm" 2 "(47.617167000000002, -122.354916)"
"Aid Response" 2 "(47.515877000000003, -122.26652799999999)"
"Aid Response" 2 "(47.533703000000003, -122.365816)"
"Aid Response Yellow" 2 "(47.689678000000001, -122.322991)"
"Trans to AMR" 2 "(47.604990999999998, -122.333174)"
"Automatic Fire Alarm Resd" 2 "(47.589269000000002, -122.294875)"
"Car Fire" 2 "(47.617018999999999, -122.350691)"
"Aid Response" 2 "(47.719292000000003, -122.297803)"
"Auto Fire Alarm" 2 "(47.579425000000001, -122.321398)"
"Aid Response" 2 "(47.604190000000003, -122.31678100000001)"
"Aid Response" 2 "(47.664397999999998, -122.37889)"
"Aid Response" 2 "(47.558275000000002, -122.296826)"
"Automatic Fire Alarm Resd" 2 "(47.516564000000002, -122.263074)"
"Aid Response" 2 "(47.708503, -122.309693)"
"Aid Response" 2 "(47.620502999999999, -122.312712)"
"Aid Response" 2 "(47.539665999999997, -122.322298)"
"Car Fire" 2 "(47.585410000000003, -122.303541)"
"Trans to AMR" 2 "(47.604990999999998, -122.333174)"
"Motor Vehicle Accident Freeway" 2 "(47.669330000000002, -122.321692)"
"Aid Response" 2 "(47.531542999999999, -122.27830400000001)"
"Trans to AMR" 2 "(47.612577999999999, -122.34119699999999)"
"Aid Response" 2 "(47.611449999999998, -122.331546)"
"Medic Response" 2 "(47.652788999999999, -122.38905)"
"Aid Response" 2 "(47.590170000000001, -122.337486)"
"Aid Response" 2 "(47.667977999999998, -122.30061600000001)"
"Aid Response" 2 "(47.617553999999998, -122.323446)"
"Aid Response" 2 "(47.719433000000002, -122.29273000000001)"
"Activated CO Detector" 2 "(47.701698, -122.36212500000001)"
"Aid Response" 2 "(47.573591999999998, -122.32906)"
"Motor Vehicle Accident" 2 "(47.650739000000002, -122.351299)"
"Aid Response" 2 "(47.547274999999999, -122.273715)"
"Motor Vehicle Accident Freeway" 2 "(47.571510000000004, -122.337962)"
"Trans to AMR" 2 "(47.548307000000001, -122.373276)"
"Medic Response" 2 "(47.608043000000002, -122.312847)"
"Fuel Spill" 2 "(47.663663999999997, -122.37612300000001)"
"Aid Response" 2 "(47.510680999999998, -122.270061)"
"Motor Vehicle Accident Freeway" 2 "(47.542026999999997, -122.30364899999999)"
"Auto Fire Alarm" 2 "(47.648812, -122.374887)"
"Aid Response" 2 "(47.661245999999998, -122.296964)"
"Aid Response" 2 "(47.670915999999998, -122.387587)"
"""Medic Response" 2 "(47.603634, -122.303738)"
"Natural Gas Odor" 2 "(47.655661000000002, -122.338644)"
"Medic Response" 2 "(47.611258999999997, -122.32076000000001)"
"Medic Response" 2 "(47.658298000000002, -122.31778199999999)"
"Medic Response" 2 "(47.726863999999999, -122.348012)"
"Aid Response" 2 "(47.626322000000002, -122.34886299999999)"
"Aid Response" 2 "(47.686860000000003, -122.322952)"
"Aid Response" 2 "(47.546017999999997, -122.283107)"
"Aid Response" 2 "(47.531551999999998, -122.28531599999999)"
"Medic Response" 2 "(47.658673, -122.345645)"
"Aid Response" 2 "(47.598351999999998, -122.325059)"
"Aid Response" 2 "(47.613036999999998, -122.326981)"
"Automatic Medical Alarm" 2 "(47.542233000000003, -122.272638)"
"Medic Response" 2 "(47.696418999999999, -122.34459200000001)"
"Medic Response" 2 "(47.702877000000001, -122.38330000000001)"
"Aid Response" 2 "(47.708601999999999, -122.32458800000001)"
"Medic Response" 2 "(47.553310000000003, -122.313474)"
"Auto Fire Alarm" 2 "(47.616736000000003, -122.32344000000001)"
"Motor Vehicle Accident" 2 "(47.599189000000003, -122.317223)"
"Medic Response" 2 "(47.598328000000002, -122.311488)"
"Aid Response" 2 "(47.609343000000003, -122.32512800000001)"
"Aid Response" 2 "(47.692714000000002, -122.355324)"
"Motor Vehicle Accident" 2 "(47.719253000000002, -122.290784)"
"Medic Response" 2 "(47.526465000000002, -122.32291600000001)"
"Aid Response" 2 "(47.623373000000001, -122.30730200000001)"
"Aid Response" 2 "(47.598312999999997, -122.327671)"
"Aid Response" 2 "(47.612408000000002, -122.324876)"
